Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.55483379547463;0.5521859503266262;0.5507863909940819;0.5546659444563522;0.546437837733953;0.5679208805307294;0.5574096504612636;0.5516203251662896;0.5534777092134452;0.5623667474290232
External Fragmentation (Vertical);2;all; ;0.6851168484737836;0.6783624336782539;0.6841748096834203;0.6851861455373638;0.6787847803107566;0.6812906351961738;0.6897318562708176;0.6811119031082884;0.6784527730625652;0.6895632574963239
External Fragmentation (Vertical);3;all; ;0.6730513742391478;0.673221584814353;0.6734355028925996;0.675788826975814;0.6781953937166207;0.6712008752908873;0.6714162469112621;0.6699571041426591;0.6755393185076761;0.6764160608199209


External Fragmentation (Horizontal);1;all; ;0.5501664373972298;0.5474269094221067;0.5462978067623537;0.5507958655676246;0.5410516210551293;0.5628356341269951;0.552997423189759;0.5469236921520115;0.5483946981592036;0.5571935997772157
External Fragmentation (Horizontal);2;all; ;0.6810542321144238;0.6738318565752277;0.6801741073660004;0.6805909454917578;0.6749035393991222;0.6773786053274291;0.6854433516872297;0.6775852748359625;0.6738593090315892;0.6859259934289902
External Fragmentation (Horizontal);3;all; ;0.6674165543269349;0.6677778345422484;0.6689270317148908;0.6724617320082409;0.6729084887240254;0.6661279212058544;0.6664393774436221;0.6648062278065485;0.6708637131174224;0.6714418605182794


External Fragmentation Per Link;1;<1-2>; ;0.5413760236510216;0.5507458509126156;0.5483994979679824;0.5318009750209945;0.5608658601065935;0.5510372132034457;0.5636820291723668;0.5332245848233632;0.5505758416977422;0.5600712837716316
External Fragmentation Per Link;1;<2-1>; ;0.568291567298214;0.5536260497405939;0.5531732840201432;0.5775309138917236;0.5320098153612429;0.5848045478579759;0.551137271750121;0.570016065509141;0.5563795767291113;0.5646622110863969
External Fragmentation Per Link;2;<1-2>; ;0.694829273275903;0.6739875987874343;0.6839958852534934;0.6801101737271334;0.6738452885846691;0.6823365117450167;0.6934409830031895;0.6794284883456869;0.6717909701736993;0.6879264883384817
External Fragmentation Per Link;2;<2-1>; ;0.675404423671721;0.6827372685690437;0.6843537341133977;0.6902621173475785;0.6837242720368336;0.6802447586473465;0.6860227295384778;0.6827953178708774;0.6851145759513925;0.6912000266541711
External Fragmentation Per Link;3;<1-2>; ;0.6720594500847192;0.6723709576750717;0.6754379758834306;0.6802244037190985;0.6783928751722784;0.6740413572733439;0.6709772628331993;0.6701009157451867;0.6745508924109154;0.6801621391238718
External Fragmentation Per Link;3;<2-1>; ;0.6740432983935087;0.6740722119535782;0.6714330299016852;0.6713532502324608;0.6779979122608609;0.6683603933083306;0.6718552309892497;0.6698132925400487;0.6765277446043592;0.67266998251585


