Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
blocking probabilities per pair;2;all;2;6; ;0.0030120481927710845;0.0056657223796034;0.045845272206303724;0.04927536231884058;0.0
blocking probabilities per pair;2;all;6;3; ;0.20625;0.0821917808219178;0.05466237942122187;0.1044776119402985;0.05341246290801187
blocking probabilities per pair;2;all;1;2; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;2;all;6;5; ;0.005934718100890208;0.0;0.0056022408963585435;0.011428571428571429;0.005361930294906166
blocking probabilities per pair;3;all;6;1; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;4;6; ;0.6135770234986945;0.6116207951070336;0.6322188449848024;0.5405405405405406;0.6873065015479877
blocking probabilities per pair;3;all;3;5; ;0.002932551319648094;0.17027863777089783;0.17696629213483145;0.07317073170731707;0.11009174311926606
blocking probabilities per pair;3;all;2;5; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;5;3; ;0.08737864077669903;0.08982035928143713;0.0625;0.208955223880597;0.19648093841642228
blocking probabilities per pair;3;all;3;2; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;2;4; ;0.14454277286135694;0.14414414414414414;0.21341463414634146;0.2033898305084746;0.24522292993630573
blocking probabilities per pair;3;all;6;4; ;0.6548672566371682;0.5988538681948424;0.591304347826087;0.6261127596439169;0.5133333333333333
blocking probabilities per pair;3;all;2;3; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;5;4; ;0.03954802259887006;0.09836065573770492;0.11048158640226628;0.019553072625698324;0.04559270516717325
blocking probabilities per pair;3;all;4;2; ;0.0;0.22888283378746593;0.20189274447949526;0.16307692307692306;0.1671388101983003
blocking probabilities per pair;3;all;5;1; ;0.11607142857142858;0.10574018126888217;0.11890243902439024;0.08653846153846154;0.0755287009063444
blocking probabilities per pair;3;all;1;3; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;1;6; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;4;3; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;5;2; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;4;1; ;0.6222222222222222;0.6693121693121693;0.6797583081570997;0.54858934169279;0.664804469273743
blocking probabilities per pair;3;all;3;1; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;6;2; ;0.1423948220064725;0.15548780487804878;0.20447284345047922;0.22822822822822822;0.09731543624161074
blocking probabilities per pair;3;all;2;1; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;3;all;3;6; ;0.7008547008547008;0.6574585635359116;0.6352941176470588;0.7076923076923077;0.6334310850439883
blocking probabilities per pair;3;all;4;5; ;0.0;0.13538461538461538;0.1572700296735905;0.07975460122699386;0.05263157894736842
blocking probabilities per pair;3;all;5;6; ;0.11299435028248588;0.03216374269005848;0.03560830860534125;0.10174418604651163;0.04054054054054054
blocking probabilities per pair;3;all;1;4; ;0.6609686609686609;0.7515923566878981;0.75;0.7709677419354839;0.6443148688046647
blocking probabilities per pair;3;all;3;4; ;0.0;0.0;0.0;0.0;0.0
