Metrics;load point;node; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Tx Utilization ;1;all; ;301.8431388233412;301.86359636843576;301.9902011758589;300.2843258808943;302.2187237531496;299.6007779066512;302.1202855657321;300.5874795024597;300.7042754869416;302.5783405991281
Tx Utilization ;2;all; ;359.1699496060473;361.0116086069672;363.8908830940287;359.05287365516136;360.19501659800824;359.6885273767148;360.950415950086;362.2867555893293;359.99843018837737;359.3242910850698
Tx Utilization ;3;all; ;422.0482442106947;421.12707475102985;422.08754949406074;420.7814262288525;422.3536475622925;418.9407871055473;422.50259968803744;419.0179278486582;421.41118065832103;420.07672079350476


Rx Utilization ;1;all; ;301.8431388233412;301.86359636843576;301.9902011758589;300.2843258808943;302.2187237531496;299.6007779066512;302.1202855657321;300.5874795024597;300.7042754869416;302.5783405991281
Rx Utilization ;2;all; ;359.1699496060473;361.0116086069672;363.8908830940287;359.05287365516136;360.19501659800824;359.6885273767148;360.950415950086;362.2867555893293;359.99843018837737;359.3242910850698
Rx Utilization ;3;all; ;422.0482442106947;421.12707475102985;422.08754949406074;420.7814262288525;422.3536475622925;418.9407871055473;422.50259968803744;419.0179278486582;421.41118065832103;420.07672079350476


Tx Utilization Per Node;1;1; ;150.61215654121506;149.77009758828942;151.18160820701516;148.64064312282525;151.20975482942046;150.35927688677359;150.74139103307604;149.71720393552775;150.89998200215973;151.9955205375355
Tx Utilization Per Node;1;2; ;151.23098228212615;152.09349878014638;150.80859296884373;151.64368275806902;151.00896892372916;149.2415010198776;151.3788945326561;150.87027556693198;149.80429348478182;150.5828200615926
Tx Utilization Per Node;2;1; ;179.36966564012317;179.47957245130584;182.73044234691838;179.09201895772506;178.6195356557213;179.63619365676118;181.2124845018598;181.6624505059393;179.21199456065273;179.29613446386435
Tx Utilization Per Node;2;2; ;179.80028396592408;181.53203615566133;181.16044074711036;179.9608546974363;181.57548094228693;180.0523337199536;179.73793144822622;180.62430508339;180.78643562772467;180.02815662120545
Tx Utilization Per Node;3;1; ;210.17814862216534;209.82771067471904;211.34017917849857;210.38577370715515;211.08171019477663;208.72277326720794;211.4495060592729;209.65867095948485;210.38156421229453;209.41917969843618
Tx Utilization Per Node;3;2; ;211.87009558852938;211.29936407631084;210.74737031556214;210.3956525216974;211.2719373675159;210.2180138383394;211.05309362876454;209.3592568891733;211.02961644602647;210.65754109506858


Rx Utilization Per Node;1;1; ;150.61215654121506;149.77009758828942;151.18160820701516;148.64064312282525;151.20975482942046;150.35927688677359;150.74139103307604;149.71720393552775;150.89998200215973;151.9955205375355
Rx Utilization Per Node;1;2; ;151.23098228212615;152.09349878014638;150.80859296884373;151.64368275806902;151.00896892372916;149.2415010198776;151.3788945326561;150.87027556693198;149.80429348478182;150.5828200615926
Rx Utilization Per Node;2;1; ;179.36966564012317;179.47957245130584;182.73044234691838;179.09201895772506;178.6195356557213;179.63619365676118;181.2124845018598;181.6624505059393;179.21199456065273;179.29613446386435
Rx Utilization Per Node;2;2; ;179.80028396592408;181.53203615566133;181.16044074711036;179.9608546974363;181.57548094228693;180.0523337199536;179.73793144822622;180.62430508339;180.78643562772467;180.02815662120545
Rx Utilization Per Node;3;1; ;210.17814862216534;209.82771067471904;211.34017917849857;210.38577370715515;211.08171019477663;208.72277326720794;211.4495060592729;209.65867095948485;210.38156421229453;209.41917969843618
Rx Utilization Per Node;3;2; ;211.87009558852938;211.29936407631084;210.74737031556214;210.3956525216974;211.2719373675159;210.2180138383394;211.05309362876454;209.3592568891733;211.02961644602647;210.65754109506858


Max Tx Utilization Per Node;1;1; ;188;193;196;195;197;188;200;193;187;195
Max Tx Utilization Per Node;1;2; ;192;191;202;194;192;197;188;197;194;201
Max Tx Utilization Per Node;2;1; ;228;226;232;245;226;229;229;229;227;227
Max Tx Utilization Per Node;2;2; ;223;226;224;223;234;230;232;227;229;229
Max Tx Utilization Per Node;3;1; ;264;272;264;256;256;257;269;280;270;258
Max Tx Utilization Per Node;3;2; ;263;275;264;260;261;272;287;268;266;268


Max Rx Utilization Per Node;1;1; ;192;191;202;194;192;197;188;197;194;201
Max Rx Utilization Per Node;1;2; ;188;193;196;195;197;188;200;193;187;195
Max Rx Utilization Per Node;2;1; ;223;226;224;223;234;230;232;227;229;229
Max Rx Utilization Per Node;2;2; ;228;226;232;245;226;229;229;229;227;227
Max Rx Utilization Per Node;3;1; ;263;275;264;260;261;272;287;268;266;268
Max Rx Utilization Per Node;3;2; ;264;272;264;256;256;257;269;280;270;258
