Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5
Requisitons per number of slots;1;all;1;-; ;0.4759036144578313;0.5211267605633803;0.47305389221556887;0.4666666666666667;0.5
Requisitons per number of slots;1;all;2;-; ;0.13253012048192772;0.19718309859154928;0.15568862275449102;0.15151515151515152;0.1527777777777778
Requisitons per number of slots;1;all;3;-; ;0.18072289156626506;0.1619718309859155;0.18562874251497005;0.15757575757575756;0.1875
Requisitons per number of slots;1;all;5;-; ;0.21084337349397592;0.11971830985915492;0.18562874251497005;0.22424242424242424;0.1597222222222222
Requisitons per number of slots;2;all;1;-; ;0.5;0.5797101449275363;0.5061728395061729;0.5428571428571428;0.5909090909090909
Requisitons per number of slots;2;all;2;-; ;0.19736842105263158;0.08695652173913043;0.18518518518518517;0.15714285714285714;0.19318181818181818
Requisitons per number of slots;2;all;3;-; ;0.11842105263157894;0.21739130434782608;0.13580246913580246;0.18571428571428572;0.18181818181818182
Requisitons per number of slots;2;all;5;-; ;0.18421052631578946;0.11594202898550725;0.1728395061728395;0.11428571428571428;0.03409090909090909
Requisitons per number of slots;3;all;1;-; ;0.5081967213114754;0.6170212765957447;0.34615384615384615;0.5254237288135594;0.5283018867924528
Requisitons per number of slots;3;all;2;-; ;0.16393442622950818;0.0851063829787234;0.19230769230769232;0.2033898305084746;0.18867924528301888
Requisitons per number of slots;3;all;3;-; ;0.16393442622950818;0.14893617021276595;0.21153846153846154;0.11864406779661017;0.09433962264150944
Requisitons per number of slots;3;all;5;-; ;0.16393442622950818;0.14893617021276595;0.25;0.15254237288135594;0.18867924528301888


Requisitons per number of slots per link;1;<2-1>;1;-; ;0.47058823529411764;0.5;0.4444444444444444;0.4;0.6666666666666666
Requisitons per number of slots per link;1;<2-1>;2;-; ;0.11764705882352941;0.2222222222222222;0.16666666666666666;0.2;0.0
Requisitons per number of slots per link;1;<2-1>;3;-; ;0.17647058823529413;0.1111111111111111;0.16666666666666666;0.4;0.16666666666666666
Requisitons per number of slots per link;1;<2-1>;5;-; ;0.23529411764705882;0.16666666666666666;0.2222222222222222;0.0;0.16666666666666666
Requisitons per number of slots per link;1;<1-2>;1;-; ;0.8333333333333334;0.5;0.16666666666666666;0.2222222222222222;1.0
Requisitons per number of slots per link;1;<1-2>;5;-; ;0.16666666666666666;0.16666666666666666;0.25;0.4444444444444444;0.0
Requisitons per number of slots per link;1;<3-2>;1;-; ;0.75;0.6;0.5;0.5333333333333333;0.6470588235294118
Requisitons per number of slots per link;1;<3-2>;2;-; ;0.125;0.05;0.125;0.26666666666666666;0.0
Requisitons per number of slots per link;1;<3-2>;5;-; ;0.125;0.2;0.25;0.13333333333333333;0.17647058823529413
Requisitons per number of slots per link;1;<2-3>;1;-; ;0.8;0.7142857142857143;0.25;0.3333333333333333;0.3
Requisitons per number of slots per link;1;<2-3>;5;-; ;0.2;0.0;0.16666666666666666;0.2222222222222222;0.1
Requisitons per number of slots per link;1;<5-2>;1;-; ;0.75;0.5555555555555556;0.4166666666666667;0.5;0.3333333333333333
Requisitons per number of slots per link;1;<5-2>;2;-; ;0.0625;0.2222222222222222;0.25;0.2;0.3333333333333333
Requisitons per number of slots per link;1;<5-2>;3;-; ;0.0625;0.2222222222222222;0.16666666666666666;0.2;0.1111111111111111
Requisitons per number of slots per link;1;<5-2>;5;-; ;0.125;0.0;0.16666666666666666;0.1;0.2222222222222222
Requisitons per number of slots per link;1;<2-5>;1;-; ;0.3333333333333333;0.7272727272727273;0.3333333333333333;0.2727272727272727;0.5714285714285714
Requisitons per number of slots per link;1;<2-5>;2;-; ;0.16666666666666666;0.09090909090909091;0.05555555555555555;0.2727272727272727;0.2857142857142857
Requisitons per number of slots per link;1;<2-5>;3;-; ;0.2222222222222222;0.09090909090909091;0.3333333333333333;0.09090909090909091;0.14285714285714285
Requisitons per number of slots per link;1;<2-5>;5;-; ;0.2777777777777778;0.09090909090909091;0.2777777777777778;0.36363636363636365;0.0
Requisitons per number of slots per link;1;<3-4>;1;-; ;0.375;1.0;0.6363636363636364;0.4;0.25
Requisitons per number of slots per link;1;<3-4>;2;-; ;0.16666666666666666;0.0;0.0;0.2;0.25
Requisitons per number of slots per link;1;<3-4>;3;-; ;0.3333333333333333;0.0;0.18181818181818182;0.2;0.5
Requisitons per number of slots per link;1;<3-4>;5;-; ;0.125;0.0;0.18181818181818182;0.2;0.0
Requisitons per number of slots per link;1;<6-1>;1;-; ;0.09090909090909091;0.5;0.46153846153846156;0.5;0.4666666666666667
Requisitons per number of slots per link;1;<6-1>;2;-; ;0.18181818181818182;0.3333333333333333;0.15384615384615385;0.125;0.13333333333333333
Requisitons per number of slots per link;1;<6-1>;3;-; ;0.36363636363636365;0.16666666666666666;0.23076923076923078;0.16666666666666666;0.26666666666666666
Requisitons per number of slots per link;1;<6-1>;5;-; ;0.36363636363636365;0.0;0.15384615384615385;0.20833333333333334;0.13333333333333333
Requisitons per number of slots per link;1;<4-3>;1;-; ;0.4444444444444444;0.47058823529411764;0.55;0.5555555555555556;0.38461538461538464
Requisitons per number of slots per link;1;<4-3>;2;-; ;0.16666666666666666;0.23529411764705882;0.05;0.16666666666666666;0.07692307692307693
Requisitons per number of slots per link;1;<4-3>;3;-; ;0.16666666666666666;0.17647058823529413;0.2;0.1111111111111111;0.3076923076923077
Requisitons per number of slots per link;1;<4-3>;5;-; ;0.2222222222222222;0.11764705882352941;0.2;0.16666666666666666;0.23076923076923078
Requisitons per number of slots per link;1;<1-6>;1;-; ;0.3;0.375;0.5833333333333334;0.4444444444444444;0.5925925925925926
