Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5
External Fragmentation (Vertical);1;all; ;0.0010412085758189703;3.462166165408623E-4;4.365895663804281E-4;5.169080996722556E-4;5.637263447017635E-4
External Fragmentation (Vertical);2;all; ;3.1111886754417017E-4;8.02987654718604E-4;6.641895114846188E-4;3.7236943058915304E-4;2.3748733088862077E-4
External Fragmentation (Vertical);3;all; ;1.0032720881326868E-4;7.074700591881003E-5;2.906990334154328E-4;2.324265595205675E-4;3.723768728364918E-5


External Fragmentation (Horizontal);1;all; ;8.810883487416557E-6;4.733790557611084E-6;5.775781441333813E-6;2.766459685644292E-6;5.4775206505383265E-6
External Fragmentation (Horizontal);2;all; ;3.2472093946293412E-6;2.498553262218659E-6;3.009360672795646E-6;1.245485646142455E-6;0.0
External Fragmentation (Horizontal);3;all; ;0.0;2.5061601416280973E-7;0.0;7.486724672141965E-7;0.0


External Fragmentation Per Link;1;<1-2>; ;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;1;<2-1>; ;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;1;<2-3>; ;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;1;<3-2>; ;0.0;0.0;0.0;0.0;0.0
External Fragmentation Per Link;1;<1-6>; ;3.950806966185185E-4;1.9225484087989647E-4;4.052196411460489E-4;3.4285186969097855E-4;0.00166770024776998
External Fragmentation Per Link;1;<2-5>; ;7.999306060199299E-4;4.3773417845875524E-5;0.0017644009658341997;0.0010937777269801308;8.285898632077433E-4
External Fragmentation Per Link;1;<3-4>; ;4.315163634238175E-4;0.0;4.124642187290215E-4;7.879999954307751E-4;2.4871260139702003E-7
External Fragmentation Per Link;1;<4-3>; ;0.002700936283977799;0.0025716647807327;5.545614332936189E-4;6.420555155347455E-4;0.00111128581863803
External Fragmentation Per Link;1;<5-2>; ;0.0010634077493777358;0.0;1.268434267124802E-4;5.030854505361342E-4;6.932769794341593E-4
External Fragmentation Per Link;1;<6-1>; ;0.003203180304008817;0.0;3.4646994373238295E-4;7.974308228761201E-4;1.850421754393829E-4
External Fragmentation Per Link;1;<4-5>; ;0.0018422336634568185;0.0;6.79428838919847E-4;6.335025136484882E-4;4.241956712978664E-4
External Fragmentation Per Link;1;<5-4>; ;9.9373474656228E-4;0.001789383427709665;8.480017520943648E-4;8.178457586045482E-4;0.0014379842254295286
External Fragmentation Per Link;1;<5-6>; ;0.002652221291644627;0.0;9.487308878557613E-4;0.001046449448004416;2.693887062279264E-4
